# Time	Cd	Cl	Cm
0.175	3.7065	-0.000299878	2.02692e-05
0.176	3.69645	-0.000264506	2.0464e-05
0.177	3.68648	-0.000285776	2.05134e-05
0.178	3.67655	-0.000272504	2.11956e-05
0.179	3.6667	-0.000271528	2.0906e-05
0.18	3.65687	-0.000265518	2.19577e-05
0.181	3.64722	-0.000274495	2.17968e-05
0.182	3.63758	-0.000268719	2.13092e-05
0.183	3.6281	-0.000271729	2.01354e-05
0.184	3.61871	-0.00026372	2.13284e-05
0.185	3.60943	-0.000270114	2.07594e-05
0.186	3.60016	-0.000257496	2.15964e-05
0.187	3.59098	-0.00027509	2.05532e-05
0.188	3.58191	-0.000250085	2.41791e-05
0.189	3.5728	-0.000260859	2.04461e-05
0.19	3.56382	-0.000255153	2.38668e-05
0.191	3.55489	-0.000255017	2.20881e-05
0.192	3.54605	-0.0002549	2.33495e-05
0.193	3.53736	-0.000240539	2.25144e-05
0.194	3.5287	-0.000258089	2.35044e-05
0.195	3.52009	-0.000245489	2.35828e-05
0.196	3.51156	-0.000249927	2.38966e-05
0.197	3.50309	-0.000236957	2.40738e-05
0.198	3.49469	-0.000241321	2.38668e-05
0.199	3.48639	-0.00023312	2.35889e-05
0.2	3.47812	-0.000236789	2.5322e-05
0.201	3.46981	-0.000201945	2.44358e-05
0.202	3.4616	-0.000251871	2.45822e-05
0.203	3.45353	-0.000232292	2.51614e-05
0.204	3.44551	-0.000236347	2.5094e-05
0.205	3.43753	-0.000208418	2.54725e-05
0.206	3.42968	-0.000229696	2.38692e-05
0.207	3.42183	-0.000224563	2.55128e-05
0.208	3.41407	-0.000231988	2.58642e-05
0.209	3.4064	-0.000212121	2.39653e-05
0.21	3.39877	-0.000223629	2.74035e-05
0.211	3.39116	-0.000205647	2.42895e-05
0.212	3.38365	-0.000193961	2.68588e-05
0.213	3.37619	-0.000221114	2.60091e-05
0.214	3.36879	-0.000215464	2.63432e-05
0.215	3.36144	-0.000210192	2.64088e-05
0.216	3.35414	-0.000214667	2.68158e-05
0.217	3.34683	-0.000207347	2.68011e-05
0.218	3.33963	-0.000190053	2.68639e-05
0.219	3.33247	-0.000189326	2.79811e-05
0.22	3.32545	-0.000239075	2.44968e-05
0.221	3.31847	-0.000211335	2.64638e-05
0.222	3.31152	-0.000207196	2.6306e-05
0.223	3.30462	-0.00021771	2.60989e-05
0.224	3.2978	-0.000198946	2.5537e-05
0.225	3.29101	-0.000201426	2.6886e-05
0.226	3.28433	-0.000206338	2.68954e-05
0.227	3.27763	-0.000193417	2.70644e-05
0.228	3.27107	-0.000202597	2.66727e-05
0.229	3.26432	-0.000176952	2.76694e-05
0.23	3.25772	-0.000174536	2.77368e-05
0.231	3.25116	-0.000203319	2.78136e-05
0.232	3.24471	-0.000186716	2.75196e-05
0.233	3.23829	-0.000186245	2.81982e-05
0.234	3.23195	-0.000183012	2.64941e-05
0.235	3.22564	-0.00018206	2.84005e-05
0.236	3.21935	-0.000202703	2.65763e-05
0.237	3.21322	-0.000210489	2.49372e-05
0.238	3.20705	-0.000172414	2.94158e-05
0.239	3.20092	-0.00017963	2.73103e-05
0.24	3.19482	-0.000172213	2.8455e-05
0.241	3.18875	-0.000198509	2.83646e-05
0.242	3.18278	-0.000183808	2.80934e-05
0.243	3.17684	-0.000182154	2.85942e-05
0.244	3.17095	-0.000173522	2.84256e-05
0.245	3.1651	-0.000173342	2.84057e-05
0.246	3.1593	-0.000180236	2.90232e-05
0.247	3.15353	-0.000156105	2.87544e-05
0.248	3.14782	-0.000206582	2.79086e-05
0.249	3.14213	-0.000215413	2.71663e-05
0.25	3.13648	-0.000148741	2.90903e-05
0.251	3.13087	-0.000172398	2.94101e-05
0.252	3.12531	-0.000164092	2.90672e-05
0.253	3.11979	-0.000174242	2.87296e-05
0.254	3.11431	-0.000165151	2.90196e-05
0.255	3.10887	-0.000174024	2.90355e-05
0.256	3.10351	-0.000167114	2.8502e-05
0.257	3.09817	-0.000164623	2.8564e-05
0.258	3.09286	-0.000164871	2.88041e-05
0.259	3.08758	-0.000161669	2.85968e-05
0.26	3.08236	-0.000171071	2.9113e-05
0.261	3.07706	-0.000151683	2.87277e-05
0.262	3.07188	-0.000158328	3.0305e-05
0.263	3.06663	-0.00015656	2.79208e-05
0.264	3.06156	-0.000171273	2.94347e-05
0.265	3.05649	-0.000156843	2.78015e-05
0.266	3.05149	-0.000161305	2.83206e-05
0.267	3.04648	-0.000166493	2.74471e-05
0.268	3.04156	-0.000157279	2.83657e-05
0.269	3.03664	-0.000163894	2.86255e-05
0.27	3.03175	-0.000156611	2.87317e-05
0.271	3.02692	-0.000159892	2.68011e-05
0.272	3.02211	-0.000156329	2.80412e-05
0.273	3.01733	-0.000168471	2.70431e-05
0.274	3.01259	-0.000141722	2.80564e-05
0.275	3.00789	-0.000155096	2.76898e-05
0.276	3.0032	-0.000130658	2.81733e-05
0.277	2.99853	-0.000140063	2.7485e-05
0.278	2.9939	-0.000138565	2.6774e-05
0.279	2.98932	-0.00016692	2.94395e-05
0.28	2.98477	-0.000157538	2.92842e-05
0.281	2.98026	-0.000160126	2.88349e-05
0.282	2.97579	-0.000156774	2.88008e-05
0.283	2.97134	-0.000154195	2.87231e-05
0.284	2.96693	-0.00016072	2.91359e-05
0.285	2.96253	-0.000142903	2.78274e-05
0.286	2.95815	-0.000154279	2.89933e-05
0.287	2.95383	-0.000144864	2.84395e-05
0.288	2.94952	-0.000143844	2.87165e-05
0.289	2.94525	-0.00014177	2.85105e-05
0.29	2.941	-0.000141856	2.85748e-05
0.291	2.93679	-0.000142599	2.83644e-05
0.292	2.93261	-0.000144174	2.81284e-05
0.293	2.92845	-0.000150689	2.85304e-05
0.294	2.92435	-0.000166671	3.03022e-05
0.295	2.92027	-0.000149387	2.83764e-05
0.296	2.91621	-0.000152623	2.85103e-05
0.297	2.91218	-0.000137444	2.91957e-05
0.298	2.90813	-0.000124227	2.8424e-05
0.299	2.90409	-0.000139358	2.83045e-05
0.3	2.90011	-9.77119e-05	2.95905e-05
0.301	2.89609	-0.000121988	2.84453e-05
0.302	2.89211	-9.13868e-05	2.9615e-05
0.303	2.88823	-0.000104517	2.87976e-05
0.304	2.8844	-9.94757e-05	2.6629e-05
0.305	2.88065	-6.70571e-05	2.7862e-05
0.306	2.87691	-0.000104686	2.63498e-05
0.307	2.87314	-9.40568e-05	2.74275e-05
0.308	2.86942	-0.000129723	2.54613e-05
0.309	2.86571	-0.000159996	2.60986e-05
0.31	2.862	-0.000187224	2.42282e-05
0.311	2.85836	-0.000215654	2.5073e-05
0.312	2.85469	-0.000215813	2.22898e-05
0.313	2.85113	-0.000201304	2.42709e-05
0.314	2.84754	-0.00020022	2.36094e-05
0.315	2.84396	-0.000191076	2.45791e-05
0.316	2.8404	-0.000181579	2.43138e-05
0.317	2.83687	-0.000169768	2.44834e-05
0.318	2.83336	-0.000167056	2.45931e-05
0.319	2.82986	-0.000164058	2.46875e-05
0.32	2.8264	-0.000161073	2.46696e-05
0.321	2.82295	-0.000154788	2.4665e-05
0.322	2.81952	-0.000157333	2.40034e-05
0.323	2.81613	-0.000160854	2.40061e-05
0.324	2.81276	-0.000157025	2.29588e-05
0.325	2.80939	-0.000150528	2.50504e-05
0.326	2.80604	-0.0001509	2.39044e-05
0.327	2.80271	-0.000152222	2.42201e-05
0.328	2.7994	-0.0001434	2.36232e-05
0.329	2.79612	-0.0001468	2.36609e-05
